capability,treatment,arm,task,score,historical_score,delta_vs_historical,n,minutes_per_run,candidate_tokens_per_run,terra_equivalent_credits_per_run,tests_passed,source
superpowers-6.1.1,full,S,cli_item_list_fields,99.17,100.0,-0.83,3,28.46,28341644,287.448042,3,state/framework/luna-skill-panel-v1/cli-item-list-fields
superpowers-6.1.1,full,S,eslint_preserve_caught_error,99.0,98.17,0.83,3,41.05,27707956,269.58647,3,state/framework/luna-skill-panel-v1/eslint-preserve-caught-error
superpowers-6.1.1,full,S,pytest_plugin_entry_points,99.5,91.33,8.17,3,44.97,27350075,276.261179,3,state/framework/luna-skill-panel-v1/pytest-plugin-entry-points
superpowers-6.1.1,full,S,pytest_addini_type_expressions,89.5,89.33,0.17,3,85.35,63214714,589.669521,3,state/framework/luna-skill-panel-v1/pytest-addini-type-expressions
superpowers-6.1.1,full,S,bat_sanitize,75.33,85.0,-9.67,3,34.49,28667624,275.913221,2,state/framework/luna-skill-panel-v1/bat-sanitize
superpowers-6.1.1,full,S,sqlmodel_field_constraints,84.33,85.67,-1.34,3,32.6,21522352,217.9206,3,state/framework/luna-skill-panel-v1/sqlmodel-field-constraints
superpowers-6.1.1,full,S,axum_custom_executor,97.5,80.5,17.0,3,54.94,29129223,296.262717,3,state/framework/luna-skill-panel-v1/axum-custom-executor
superpowers-6.1.1,full,S,prometheus_utf8_negotiation,72.83,42.67,30.16,3,65.19,37988251,384.076504,1,state/framework/luna-skill-panel-v1/prometheus-utf8-negotiation
mattpocock-grill-me,grill-me,G,cli_item_list_fields,100.0,,,3,16.19,4912289,79.152979,3,state/framework/luna-grill-me-panel-v1/cli-item-list-fields
mattpocock-grill-me,grill-me,G,eslint_preserve_caught_error,99.67,,,3,26.31,12281843,138.734808,3,state/framework/luna-grill-me-panel-v1/eslint-preserve-caught-error
mattpocock-grill-me,grill-me,G,pytest_plugin_entry_points,98.67,,,3,9.86,2516435,35.358754,3,state/framework/luna-grill-me-panel-v1/pytest-plugin-entry-points
mattpocock-grill-me,grill-me,G,pytest_addini_type_expressions,86.83,,,3,18.79,5243105,86.655133,3,state/framework/luna-grill-me-panel-v1/pytest-addini-type-expressions
mattpocock-grill-me,grill-me,G,bat_sanitize,97.33,,,3,24.7,10274501,137.7596,3,state/framework/luna-grill-me-panel-v1/bat-sanitize
mattpocock-grill-me,grill-me,G,sqlmodel_field_constraints,86.0,,,3,12.19,2063682,33.065529,3,state/framework/luna-grill-me-panel-v1/sqlmodel-field-constraints
mattpocock-grill-me,grill-me,G,axum_custom_executor,97.83,,,3,16.28,3190292,61.999021,3,state/framework/luna-grill-me-panel-v1/axum-custom-executor
mattpocock-grill-me,grill-me,G,prometheus_utf8_negotiation,70.83,,,3,23.71,6290783,157.847825,2,state/framework/luna-grill-me-panel-v1/prometheus-utf8-negotiation
fission-openspec,core-propose-apply,O,cli_item_list_fields,83.33,81.17,2.16,3,11.99,4762861,48.921958,3,state/framework/luna-skill-panel-v1/cli-item-list-fields
fission-openspec,core-propose-apply,O,eslint_preserve_caught_error,48.0,54.33,-6.33,3,11.54,6617486,62.530492,3,state/framework/luna-skill-panel-v1/eslint-preserve-caught-error
fission-openspec,core-propose-apply,O,pytest_plugin_entry_points,94.83,90.0,4.83,3,23.77,3074227,33.285104,3,state/framework/luna-skill-panel-v1/pytest-plugin-entry-points
fission-openspec,core-propose-apply,O,pytest_addini_type_expressions,79.33,78.67,0.66,3,12.81,7109332,66.426017,3,state/framework/luna-skill-panel-v1/pytest-addini-type-expressions
fission-openspec,core-propose-apply,O,bat_sanitize,89.83,91.17,-1.34,3,15.56,8971269,84.186954,2,state/framework/luna-skill-panel-v1/bat-sanitize
fission-openspec,core-propose-apply,O,sqlmodel_field_constraints,81.67,73.5,8.17,3,9.89,3544061,39.684663,2,state/framework/luna-skill-panel-v1/sqlmodel-field-constraints
fission-openspec,core-propose-apply,O,axum_custom_executor,65.0,71.17,-6.17,3,10.01,3956252,42.268987,0,state/framework/luna-skill-panel-v1/axum-custom-executor
fission-openspec,core-propose-apply,O,prometheus_utf8_negotiation,34.0,31.33,2.67,3,13.43,6041241,64.160346,0,state/framework/luna-skill-panel-v1/prometheus-utf8-negotiation
ponytail-16f2980,full,P,cli_item_list_fields,78.33,80.5,-2.17,3,6.33,1886665,24.370479,3,state/framework/luna-skill-panel-v1/cli-item-list-fields
ponytail-16f2980,full,P,eslint_preserve_caught_error,47.67,51.0,-3.33,3,8.56,3227906,33.397062,3,state/framework/luna-skill-panel-v1/eslint-preserve-caught-error
ponytail-16f2980,full,P,pytest_plugin_entry_points,94.5,90.5,4.0,3,4.93,1524421,17.723175,3,state/framework/luna-skill-panel-v1/pytest-plugin-entry-points
ponytail-16f2980,full,P,pytest_addini_type_expressions,85.0,77.33,7.67,3,16.85,4980309,52.218908,3,state/framework/luna-skill-panel-v1/pytest-addini-type-expressions
ponytail-16f2980,full,P,bat_sanitize,80.0,92.83,-12.83,3,12.01,7070257,65.633071,0,state/framework/luna-skill-panel-v1/bat-sanitize
ponytail-16f2980,full,P,sqlmodel_field_constraints,73.0,79.17,-6.17,3,7.88,1566665,21.363758,1,state/framework/luna-skill-panel-v1/sqlmodel-field-constraints
ponytail-16f2980,full,P,axum_custom_executor,61.67,67.17,-5.5,3,8.22,2376139,27.261125,0,state/framework/luna-skill-panel-v1/axum-custom-executor
ponytail-16f2980,full,P,prometheus_utf8_negotiation,41.33,39.33,2.0,3,9.23,2708515,33.893254,1,state/framework/luna-skill-panel-v1/prometheus-utf8-negotiation
matrixspec-profiled-f7c4911,light-no-baseline,L0,cli_item_list_fields,94.5,99.83,-5.33,3,32.33,15598998,181.7005,3,state/framework/luna-skill-panel-v1/cli-item-list-fields
matrixspec-profiled-f7c4911,light-no-baseline,L0,eslint_preserve_caught_error,94.5,100.0,-5.5,3,48.13,36626259,389.175308,3,state/framework/luna-skill-panel-v1/eslint-preserve-caught-error
matrixspec-profiled-f7c4911,light-no-baseline,L0,pytest_plugin_entry_points,95.17,93.33,1.84,3,32.95,12057786,163.047137,3,state/framework/luna-skill-panel-v1/pytest-plugin-entry-points
matrixspec-profiled-f7c4911,light-no-baseline,L0,pytest_addini_type_expressions,87.17,85.5,1.67,3,43.17,19218573,219.180796,3,state/framework/luna-skill-panel-v1/pytest-addini-type-expressions
matrixspec-profiled-f7c4911,light-no-baseline,L0,bat_sanitize,87.0,86.83,0.17,3,49.91,19246400,223.40982,2,state/framework/luna-skill-panel-v1/bat-sanitize
matrixspec-profiled-f7c4911,light-no-baseline,L0,sqlmodel_field_constraints,84.83,85.33,-0.5,3,28.97,10185404,143.056596,3,state/framework/luna-skill-panel-v1/sqlmodel-field-constraints
matrixspec-profiled-f7c4911,light-no-baseline,L0,axum_custom_executor,87.17,91.5,-4.33,3,39.96,34869621,344.726604,2,state/framework/luna-skill-panel-v1/axum-custom-executor
matrixspec-profiled-f7c4911,light-no-baseline,L0,prometheus_utf8_negotiation,63.33,79.83,-16.5,3,54.51,20584911,314.767946,0,state/framework/luna-skill-panel-v1/prometheus-utf8-negotiation
