task,run_id,arm,tool,status,anonymous_candidate,judge_scores,mean_score,wall_seconds,candidate_turns,reviewer_turns,operator_turns,operator_questions,candidate_all_session_tokens,candidate_invocation_tokens,reviewer_invocation_tokens,candidate_session_files,candidate_session_usage_events,candidate_session_attribution,estimated_cost,estimated_cost_unit,focused_tests_passed,product_files_changed,product_additions,product_deletions,candidate_tool_calls
cli-item-list-fields,s-r1,S,superpowers,completed,Candidate-B,"[100, 100]",100.0,1664.988,8,0,6,6,44709311,20937682,0,8,453,session-tree,445.346812,credits_per_million_tokens,True,6,539,9,45
cli-item-list-fields,s-r2,S,superpowers,completed,Candidate-D,"[97, 98]",97.5,2019.534,7,0,5,5,19385036,26848581,0,7,163,session-tree,199.06525,credits_per_million_tokens,True,4,701,9,66
cli-item-list-fields,s-r3,S,superpowers,completed,Candidate-G,"[100, 100]",100.0,1438.843,8,0,7,7,20930585,17798863,0,6,205,session-tree,217.932063,credits_per_million_tokens,True,8,671,9,77
cli-item-list-fields,o-r1,O,openspec,completed,Candidate-I,"[90, 93]",91.5,792.809,4,0,1,1,4614637,4702040,0,1,63,session-tree,48.7842,credits_per_million_tokens,True,4,387,6,34
cli-item-list-fields,o-r2,O,openspec,completed,Candidate-K,"[79, 80]",79.5,759.171,2,0,0,0,4933548,4917871,0,2,64,session-tree,50.068362,credits_per_million_tokens,True,4,270,13,60
cli-item-list-fields,o-r3,O,openspec,completed,Candidate-C,"[77, 81]",79.0,606.926,1,0,0,0,4740397,4740397,0,1,68,session-tree,47.913313,credits_per_million_tokens,True,4,448,5,74
cli-item-list-fields,p-r1,P,ponytail,completed,Candidate-H,"[81, 80]",80.5,396.681,1,0,0,0,1592107,1592107,0,1,26,session-tree,21.916712,credits_per_million_tokens,True,2,304,3,28
cli-item-list-fields,p-r2,P,ponytail,completed,Candidate-A,"[76, 80]",78.0,363.618,1,0,0,0,2207112,2187219,0,2,35,session-tree,26.148412,credits_per_million_tokens,True,2,145,3,33
cli-item-list-fields,p-r3,P,ponytail,completed,Candidate-L,"[77, 76]",76.5,378.613,1,0,0,0,1860777,1840578,0,2,27,session-tree,25.046312,credits_per_million_tokens,True,2,237,3,37
cli-item-list-fields,l0-r1,L0,matrixspec-lite-l0,protocol-failed,Candidate-E,"[84, 85]",84.5,1916.92,8,3,5,5,15263959,36553145,1218724,5,188,session-tree,155.970375,credits_per_million_tokens,True,4,550,8,99
cli-item-list-fields,l0-r2,L0,matrixspec-lite-l0,completed,Candidate-F,"[99, 99]",99.0,2062.629,15,1,10,10,18199794,62857853,1626510,4,177,session-tree,215.2939,credits_per_million_tokens,True,6,405,7,95
cli-item-list-fields,l0-r3,L0,matrixspec-lite-l0,completed,Candidate-J,"[100, 100]",100.0,1839.106,13,2,11,10,13333240,49141005,1434866,3,156,session-tree,173.837225,credits_per_million_tokens,True,5,527,4,96
cli-item-list-fields,g-r1,G,grill-me,completed,Candidate-B,"[100, 100]",100.0,908.4,9,0,8,8,4426309,8188640,0,1,56,session-tree,63.054937,credits_per_million_tokens,True,5,446,4,35
cli-item-list-fields,g-r2,G,grill-me,completed,Candidate-A,"[100, 100]",100.0,1209.461,17,0,16,16,6189383,21301927,0,1,65,session-tree,111.6762,credits_per_million_tokens,True,8,460,5,35
cli-item-list-fields,g-r3,G,grill-me,completed,Candidate-C,"[100, 100]",100.0,795.849,10,0,9,9,4121175,8925111,0,1,54,session-tree,62.7278,credits_per_million_tokens,True,5,463,4,29
eslint-preserve-caught-error,s-r1,S,superpowers,completed,Candidate-J,"[100, 100]",100.0,2627.215,12,0,10,11,35869793,28327529,0,6,319,session-tree,367.064687,credits_per_million_tokens,True,4,491,34,79
eslint-preserve-caught-error,s-r2,S,superpowers,completed,Candidate-H,"[94, 100]",97.0,2316.497,13,0,10,10,26633730,33487747,0,3,208,session-tree,236.406149,credits_per_million_tokens,True,4,485,39,54
eslint-preserve-caught-error,s-r3,S,superpowers,completed,Candidate-I,"[100, 100]",100.0,2444.723,13,0,10,10,20620346,29408012,0,8,211,session-tree,205.288575,credits_per_million_tokens,True,4,477,40,55
